project,location,creek,year,metal,value
KGM,Lower Johnson Creek,LJC,2014,Ag,0.32
KGM,Lower Johnson Creek,LJC,2015,Ag,0.16
KGM,Lower Johnson Creek,LJC,2016,Ag,0.574
KGM,Lower Johnson Creek,LJC,2011,Al,13100
KGM,Lower Johnson Creek,LJC,2012,Al,13100
KGM,Lower Johnson Creek,LJC,2013,Al,10300
KGM,Lower Johnson Creek,LJC,2014,Al,10300
KGM,Lower Johnson Creek,LJC,2015,Al,10900
KGM,Lower Johnson Creek,LJC,2016,Al,9470
KGM,Lower Johnson Creek,LJC,2011,As,16.2
KGM,Lower Johnson Creek,LJC,2012,As,12.8
KGM,Lower Johnson Creek,LJC,2013,As,11.9
KGM,Lower Johnson Creek,LJC,2014,As,16.5
KGM,Lower Johnson Creek,LJC,2015,As,12.5
KGM,Lower Johnson Creek,LJC,2016,As,13
KGM,Lower Johnson Creek,LJC,2011,Cd,0.238
KGM,Lower Johnson Creek,LJC,2012,Cd,0.25
KGM,Lower Johnson Creek,LJC,2013,Cd,0.492
KGM,Lower Johnson Creek,LJC,2014,Cd,0.16
KGM,Lower Johnson Creek,LJC,2015,Cd,0.15
KGM,Lower Johnson Creek,LJC,2016,Cd,0.15
KGM,Lower Johnson Creek,LJC,2011,Cr,31.5
KGM,Lower Johnson Creek,LJC,2012,Cr,35.5
KGM,Lower Johnson Creek,LJC,2013,Cr,24.4
KGM,Lower Johnson Creek,LJC,2014,Cr,22.2
KGM,Lower Johnson Creek,LJC,2015,Cr,18.1
KGM,Lower Johnson Creek,LJC,2016,Cr,18.9
KGM,Lower Johnson Creek,LJC,2011,Cu,73.1
KGM,Lower Johnson Creek,LJC,2012,Cu,76.8
KGM,Lower Johnson Creek,LJC,2013,Cu,56.1
KGM,Lower Johnson Creek,LJC,2014,Cu,68.2
KGM,Lower Johnson Creek,LJC,2015,Cu,71.1
KGM,Lower Johnson Creek,LJC,2016,Cu,76.3
KGM,Lower Johnson Creek,LJC,2011,Hg,
KGM,Lower Johnson Creek,LJC,2012,Hg,0.119
KGM,Lower Johnson Creek,LJC,2013,Hg,
KGM,Lower Johnson Creek,LJC,2014,Hg,0.02
KGM,Lower Johnson Creek,LJC,2015,Hg,
KGM,Lower Johnson Creek,LJC,2016,Hg,0.02
KGM,Lower Johnson Creek,LJC,2011,Ni,27.3
KGM,Lower Johnson Creek,LJC,2012,Ni,23.4
KGM,Lower Johnson Creek,LJC,2013,Ni,15.7
KGM,Lower Johnson Creek,LJC,2014,Ni,16.9
KGM,Lower Johnson Creek,LJC,2015,Ni,17.7
KGM,Lower Johnson Creek,LJC,2016,Ni,15.1
KGM,Lower Johnson Creek,LJC,2011,Pb,9.76
KGM,Lower Johnson Creek,LJC,2012,Pb,9.45
KGM,Lower Johnson Creek,LJC,2013,Pb,8
KGM,Lower Johnson Creek,LJC,2014,Pb,10.9
KGM,Lower Johnson Creek,LJC,2015,Pb,8.04
KGM,Lower Johnson Creek,LJC,2016,Pb,8.41
KGM,Lower Johnson Creek,LJC,2011,Se,
KGM,Lower Johnson Creek,LJC,2012,Se,
KGM,Lower Johnson Creek,LJC,2013,Se,
KGM,Lower Johnson Creek,LJC,2014,Se,
KGM,Lower Johnson Creek,LJC,2015,Se,
KGM,Lower Johnson Creek,LJC,2016,Se,
KGM,Lower Johnson Creek,LJC,2011,Zn,93.3
KGM,Lower Johnson Creek,LJC,2012,Zn,97.3
KGM,Lower Johnson Creek,LJC,2013,Zn,121
KGM,Lower Johnson Creek,LJC,2014,Zn,83.4
KGM,Lower Johnson Creek,LJC,2015,Zn,79.7
KGM,Lower Johnson Creek,LJC,2016,Zn,65.7
KGM,Lower Sherman Creek,LSH,2011,Ag,0.137
KGM,Lower Sherman Creek,LSH,2012,Ag,0.289
KGM,Lower Sherman Creek,LSH,2013,Ag,0.306
KGM,Lower Sherman Creek,LSH,2014,Ag,0.14
KGM,Lower Sherman Creek,LSH,2015,Ag,0.25
KGM,Lower Sherman Creek,LSH,2016,Ag,0.097
KGM,Lower Sherman Creek,LSH,2011,Al,18200
KGM,Lower Sherman Creek,LSH,2012,Al,17900
KGM,Lower Sherman Creek,LSH,2013,Al,15400
KGM,Lower Sherman Creek,LSH,2014,Al,14900
KGM,Lower Sherman Creek,LSH,2015,Al,17500
KGM,Lower Sherman Creek,LSH,2016,Al,13800
KGM,Lower Sherman Creek,LSH,2011,As,28.9
KGM,Lower Sherman Creek,LSH,2012,As,24.3
KGM,Lower Sherman Creek,LSH,2013,As,25.4
KGM,Lower Sherman Creek,LSH,2014,As,27.9
KGM,Lower Sherman Creek,LSH,2015,As,37
KGM,Lower Sherman Creek,LSH,2016,As,19.9
KGM,Lower Sherman Creek,LSH,2011,Cd,0.389
KGM,Lower Sherman Creek,LSH,2012,Cd,0.578
KGM,Lower Sherman Creek,LSH,2013,Cd,0.39
KGM,Lower Sherman Creek,LSH,2014,Cd,0.36
KGM,Lower Sherman Creek,LSH,2015,Cd,0.32
KGM,Lower Sherman Creek,LSH,2016,Cd,0.388
KGM,Lower Sherman Creek,LSH,2011,Cr,46.2
KGM,Lower Sherman Creek,LSH,2012,Cr,51.4
KGM,Lower Sherman Creek,LSH,2013,Cr,37.4
KGM,Lower Sherman Creek,LSH,2014,Cr,33.6
KGM,Lower Sherman Creek,LSH,2015,Cr,30.9
KGM,Lower Sherman Creek,LSH,2016,Cr,27.5
KGM,Lower Sherman Creek,LSH,2011,Cu,94
KGM,Lower Sherman Creek,LSH,2012,Cu,79.1
KGM,Lower Sherman Creek,LSH,2013,Cu,69.4
KGM,Lower Sherman Creek,LSH,2014,Cu,68.4
KGM,Lower Sherman Creek,LSH,2015,Cu,70.8
KGM,Lower Sherman Creek,LSH,2016,Cu,72.5
KGM,Lower Sherman Creek,LSH,2011,Hg,
KGM,Lower Sherman Creek,LSH,2012,Hg,0.0681
KGM,Lower Sherman Creek,LSH,2013,Hg,
KGM,Lower Sherman Creek,LSH,2014,Hg,0.03
KGM,Lower Sherman Creek,LSH,2015,Hg,0.02
KGM,Lower Sherman Creek,LSH,2016,Hg,
KGM,Lower Sherman Creek,LSH,2011,Ni,45.9
KGM,Lower Sherman Creek,LSH,2012,Ni,40.2
KGM,Lower Sherman Creek,LSH,2013,Ni,30.9
KGM,Lower Sherman Creek,LSH,2014,Ni,31.1
KGM,Lower Sherman Creek,LSH,2015,Ni,38
KGM,Lower Sherman Creek,LSH,2016,Ni,32.9
KGM,Lower Sherman Creek,LSH,2011,Pb,6.7
KGM,Lower Sherman Creek,LSH,2012,Pb,8.43
KGM,Lower Sherman Creek,LSH,2013,Pb,7.39
KGM,Lower Sherman Creek,LSH,2014,Pb,6.97
KGM,Lower Sherman Creek,LSH,2015,Pb,11
KGM,Lower Sherman Creek,LSH,2016,Pb,6.6
KGM,Lower Sherman Creek,LSH,2011,Se,
KGM,Lower Sherman Creek,LSH,2012,Se,
KGM,Lower Sherman Creek,LSH,2013,Se,1.77
KGM,Lower Sherman Creek,LSH,2014,Se,1.2
KGM,Lower Sherman Creek,LSH,2015,Se,2
KGM,Lower Sherman Creek,LSH,2016,Se,1.1
KGM,Lower Sherman Creek,LSH,2011,Zn,110
KGM,Lower Sherman Creek,LSH,2012,Zn,128
KGM,Lower Sherman Creek,LSH,2013,Zn,111
KGM,Lower Sherman Creek,LSH,2014,Zn,119
KGM,Lower Sherman Creek,LSH,2015,Zn,134
KGM,Lower Sherman Creek,LSH,2016,Zn,123
