project,location,creek,year,metal,value,detected
KGM,Upper Slate Creek,USC,2011,Hg,0.0489,n 
KGM,Upper Slate Creek,USC,2012,Hg,0.0625,y
KGM,Upper Slate Creek,USC,2013,Hg,0.038,n 
KGM,Upper Slate Creek,USC,2014,Hg,0.03,y
KGM,Upper Slate Creek,USC,2015,Hg,0.11,y
KGM,Upper Slate Creek,USC,2016,Hg,0.051,y
KGM,Upper Slate Creek,USC,2011,Ni,87.5,y
KGM,Upper Slate Creek,USC,2012,Ni,78.4,y
KGM,Upper Slate Creek,USC,2013,Ni,55,y
KGM,Upper Slate Creek,USC,2014,Ni,55.7,y
KGM,Upper Slate Creek,USC,2015,Ni,54,y
KGM,Upper Slate Creek,USC,2016,Ni,48.5,y
KGM,Upper Slate Creek,USC,2011,Pb,3.37,y
KGM,Upper Slate Creek,USC,2012,Pb,4.05,y
KGM,Upper Slate Creek,USC,2013,Pb,2.7,y
KGM,Upper Slate Creek,USC,2014,Pb,2.86,y
KGM,Upper Slate Creek,USC,2015,Pb,3.17,y
KGM,Upper Slate Creek,USC,2016,Pb,2.69,y
KGM,Upper Slate Creek,USC,2011,Se,0.809,y
KGM,Upper Slate Creek,USC,2012,Se,0.606,y
KGM,Upper Slate Creek,USC,2013,Se,3.21,y
KGM,Upper Slate Creek,USC,2014,Se,1.8,y
KGM,Upper Slate Creek,USC,2015,Se,2.3,y
KGM,Upper Slate Creek,USC,2016,Se,2.1,y
KGM,Upper Slate Creek,USC,2011,Zn,130,y
KGM,Upper Slate Creek,USC,2012,Zn,134,y
KGM,Upper Slate Creek,USC,2013,Zn,105,y
KGM,Upper Slate Creek,USC,2014,Zn,111,y
KGM,Upper Slate Creek,USC,2015,Zn,109,y
KGM,Upper Slate Creek,USC,2016,Zn,111,y
KGM,Lower Johnson Creek,LJC,2011,Ag,0.164,y
KGM,Lower Johnson Creek,LJC,2012,Ag,0.342,y
KGM,Lower Johnson Creek,LJC,2013,Ag,0.269,y
KGM,Lower Johnson Creek,LJC,2014,Ag,0.32,y
KGM,Lower Johnson Creek,LJC,2015,Ag,0.16,y
KGM,Lower Johnson Creek,LJC,2016,Ag,0.574,y
KGM,Lower Johnson Creek,LJC,2011,Al,13100,y
KGM,Lower Johnson Creek,LJC,2012,Al,13100,y
KGM,Lower Johnson Creek,LJC,2013,Al,10300,y
KGM,Lower Johnson Creek,LJC,2014,Al,10300,y
KGM,Lower Johnson Creek,LJC,2015,Al,10900,y
KGM,Lower Johnson Creek,LJC,2016,Al,9470,y
KGM,Lower Johnson Creek,LJC,2011,As,16.2,y
KGM,Lower Johnson Creek,LJC,2012,As,12.8,y
KGM,Lower Johnson Creek,LJC,2013,As,11.9,y
KGM,Lower Johnson Creek,LJC,2014,As,16.5,y
KGM,Lower Johnson Creek,LJC,2015,As,12.5,y
KGM,Lower Johnson Creek,LJC,2016,As,13,y
KGM,Lower Johnson Creek,LJC,2011,Cd,0.238,y
KGM,Lower Johnson Creek,LJC,2012,Cd,0.25,y
KGM,Lower Johnson Creek,LJC,2013,Cd,0.492,y
KGM,Lower Johnson Creek,LJC,2014,Cd,0.16,y
KGM,Lower Johnson Creek,LJC,2015,Cd,0.15,y
KGM,Lower Johnson Creek,LJC,2016,Cd,0.15,y
KGM,Lower Johnson Creek,LJC,2011,Cr,31.5,y
KGM,Lower Johnson Creek,LJC,2012,Cr,35.5,y
KGM,Lower Johnson Creek,LJC,2013,Cr,24.4,y
KGM,Lower Johnson Creek,LJC,2014,Cr,22.2,y
KGM,Lower Johnson Creek,LJC,2015,Cr,18.1,y
KGM,Lower Johnson Creek,LJC,2016,Cr,18.9,y
KGM,Lower Johnson Creek,LJC,2011,Cu,73.1,y
KGM,Lower Johnson Creek,LJC,2012,Cu,76.8,y
KGM,Lower Johnson Creek,LJC,2013,Cu,56.1,y
KGM,Lower Johnson Creek,LJC,2014,Cu,68.2,y
KGM,Lower Johnson Creek,LJC,2015,Cu,71.1,y
KGM,Lower Johnson Creek,LJC,2016,Cu,76.3,y
KGM,Lower Johnson Creek,LJC,2011,Hg,0.0386,n 
KGM,Lower Johnson Creek,LJC,2012,Hg,0.119,y
KGM,Lower Johnson Creek,LJC,2013,Hg,0.0354,n
KGM,Lower Johnson Creek,LJC,2014,Hg,0.02,y
KGM,Lower Johnson Creek,LJC,2015,Hg,0.02,n
KGM,Lower Johnson Creek,LJC,2016,Hg,0.02,y
